header_key,type,description,maps_to_fields,calculation_or_use,notes
Event,string,Event name (e.g. Live Chess),,Informational only,
Site,string,Site provider (Chess.com),,Informational only,
Date,string,Local date of event (yyyy.MM.dd),,Rarely used; prefer UTCDate/UTCTime for start epoch,
Round,string,Round indicator or '-',,Informational only,
White,string,White player's username,AllFields.my_username (identity); Core identity,Used with configured USERNAME to determine my_color,
Black,string,Black player's username,AllFields.opp_username (identity); Core identity,Used with configured USERNAME to determine my_color,
Result,string,PGN result token (1-0|0-1|1/2-1/2),AllFields.white_result_raw|black_result_raw; end_reason policy,Do not override API loser-result policy,
CurrentPosition,string,Current board position FEN at save time,,Not the same as final JSON fen; informational,
Timezone,string,Timezone context for local Start/End times,,Typically 'UTC',
ECO,string,Encyclopedia of Chess Openings code,AllFields.eco_code,Parsed directly from PGN header,
ECOUrl,string,URL to ECO opening page,AllFields.eco_url,Parsed directly from PGN header,
UTCDate,string,UTC game date (yyyy.MM.dd),AllFields.start_time_local (seed); transforms,Used with UTCTime to derive start epoch/local,
UTCTime,string,UTC game time (HH:MM:SS),AllFields.start_time_local (seed); transforms,Used with UTCDate to derive start epoch/local,
WhiteElo,number,White player's rating (PGN),Callback overlay fallback (my/opp pregame),Used when callback players blocks missing,
BlackElo,number,Black player's rating (PGN),Callback overlay fallback (my/opp pregame),Used when callback players blocks missing,
TimeControl,string,PGN-compliant time control string,AllFields.time_control; base_time|increment|correspondence_time,Parsed via parseTimeControl,
Termination,string,Human-readable termination string,AllFields.termination_raw; Core.result_message (callback alt),Informational; do not alter end_reason policy,
StartTime,string,Local start time string,AllFields.start_time_local (fallback),Sometimes present; not authoritative,
EndDate,string,Local end date (yyyy.MM.dd),AllFields.date (fallback),Prefer API end_time epoch,
EndTime,string,Local end time string,AllFields.end_time_local (fallback),Prefer API end_time epoch,
Link,string,URL of this game,AllFields.url (fallback),Used if API url missing,
SetUp,string,Indicates non-standard initial position ("1"),,When "1", FEN header gives initial setup,
FEN,string,Initial board setup FEN (when SetUp="1"),AllFields.initial_setup,Not the final FEN; final comes from API json.fen,
Movetext,text,Body after the blank line following headers,AllFields.pgn_moves,Not a header; extracted as PGN movetext after headers,
